aereo,ac_id,D,date,time,time_sec
AA66946474,DLH417,EDDF,2017-08-17,03:02:23,10943
AA66946587,DLH401,EDDF,2017-08-17,03:03:58,11038
AA66925954,IMX112,EDDF,2017-08-17,03:07:57,11277
AA66939089,DLH797,EDDF,2017-08-17,03:08:04,11284
AA66951681,ABR6TR,EDDF,2017-08-17,03:11:34,11494
AA66947618,DLH595,EDDF,2017-08-17,03:12:10,11530
AA66945631,GEC8473,EDDF,2017-08-17,03:15:29,11729
AA66941980,DLH573,EDDF,2017-08-17,03:18:20,11900
AA66947091,DLH423,EDDF,2017-08-17,03:19:56,11996
AA66952930,BCS126,EDDF,2017-08-17,03:22:23,12143
AA66944862,DLH443,EDDF,2017-08-17,03:23:24,12204
AA66946975,ETH706,EDDF,2017-08-17,03:25:06,12306
AA66941546,CFG2053,EDDF,2017-08-17,03:28:13,12493
AA66944150,DLH591,EDDF,2017-08-17,03:29:19,12559
AA66940352,DLH1327,EDDF,2017-08-17,03:31:59,12719
AA66949310,THY6403,EDDF,2017-08-17,03:33:07,12787
AA66946028,UAL944,EDDF,2017-08-17,03:34:35,12875
AA66941010,DLH773,EDDF,2017-08-17,03:36:19,12979
AA66952881,BCS128,EDDF,2017-08-17,03:38:17,13097
AA66942011,DLH623,EDDF,2017-08-17,03:39:43,13183
AA66940281,DLH1319,EDDF,2017-08-17,03:41:52,13312
AA66941444,ANA203,EDDF,2017-08-17,03:43:06,13386
AA66950168,ACA872,EDDF,2017-08-17,03:44:32,13472
AA66941009,DLH631,EDDF,2017-08-17,03:47:04,13624
AA66949791,DLH601,EDDF,2017-08-17,03:48:23,13703
AA66939575,DLH1331,EDDF,2017-08-17,03:51:47,13907
AA66950771,THY1EX,EDDF,2017-08-17,03:53:26,14006
AA66939736,CES219,EDDF,2017-08-17,04:00:11,14411
AA66941854,DLH633,EDDF,2017-08-17,04:02:53,14573
AA66942884,CCA965,EDDF,2017-08-17,04:04:44,14684
AA66948444,DLH569,EDDF,2017-08-17,04:07:01,14821
AA66941075,DLH779,EDDF,2017-08-17,04:08:43,14923
AA66914158,HVN31,EDDF,2017-08-17,04:11:20,15080
AA66941506,CSN331,EDDF,2017-08-17,04:17:02,15422
AA66945840,UAL989,EDDF,2017-08-17,04:23:16,15796
AA66941375,SIA26,EDDF,2017-08-17,04:26:48,16008
AA66947277,OMA115,EDDF,2017-08-17,04:32:11,16331
AA66940076,THA920,EDDF,2017-08-17,04:35:02,16502
AA66950849,ETD1,EDDF,2017-08-17,04:38:31,16711
AA66939852,DLH143,EDDF,2017-08-17,04:40:57,16857
AA66948667,DLH445,EDDF,2017-08-17,04:42:38,16958
AA66950568,DLH073,EDDF,2017-08-17,04:43:22,17002
AA66947023,QTR85C,EDDF,2017-08-17,04:44:37,17077
AA66948788,DLH479,EDDF,2017-08-17,04:44:51,17091
AA66940863,CPA289,EDDF,2017-08-17,04:47:16,17236
