,aereo,traiettoria,partenza in sec,arrivo in sec,tempo percorso,tempo minimo,delay
0,AA67346302,GIBSO-BILNI-KUMIL-ELDER-HAZEL-OCK-AIRPORT,37055,38340,1285,1275,10
1,AA67351001,NUMPO-OKESI-BEDEK-NIGIT-TOMMO-AIRPORT,25524,26763,1239,1239,0
2,AA67350189,NUMPO-OKESI-BEDEK-NIGIT-OCK-AIRPORT,28749,30360,1611,1355,256
3,AA67337907,LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,21614,22743,1129,944,185
4,AA67338703,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,21780,23042,1262,1120,142
5,AA67349174,NUMPO-OKESI-BEDEK-NIGIT-OCK-AIRPORT,31086,32640,1554,1355,199
6,AA67350289,TOBID-SOPIT-WCO-BNN-BOVVA-AIRPORT,24079,25020,941,888,53
7,AA67343435,GIBSO-BILNI-KUMIL-ELDER-HAZEL-OCK-AIRPORT,21930,23340,1410,1275,135
8,AA67348842,NUMPO-OKESI-BEDEK-NIGIT-TOMMO-AIRPORT,23343,24760,1417,1239,178
9,AA67341101,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,31020,32288,1268,1120,148
10,AA67340987,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,28140,29409,1269,1120,149
11,AA67348869,NUMPO-OKESI-BEDEK-NIGIT-TOMMO-AIRPORT,23205,24527,1322,1239,83
12,AA67347801,NUMPO-OKESI-BEDEK-NIGIT-TOMMO-AIRPORT,30317,31606,1289,1239,50
13,AA67341280,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,31500,32768,1268,1120,148
14,AA67351182,IDESI-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,38700,39922,1222,1055,167
15,AA67340102,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,23516,24773,1257,1120,137
16,AA67346843,NIGIT-TOMMO-AIRPORT,21657,22280,623,593,30
17,AA67344951,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,27480,28738,1258,1120,138
18,AA67349717,TOBID-SOPIT-WCO-BNN-BOVVA-AIRPORT,33189,34151,962,888,74
19,AA67361985,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,48704,50231,1527,1120,407
20,AA67358884,BOLRO-KATHY-ELDER-HAZEL-OCK-AIRPORT,52530,54096,1566,1239,327
21,AA67361195,TOBID-SOPIT-WCO-BNN-BOVVA-AIRPORT,57236,58501,1265,888,377
22,AA67369076,NUMPO-OKESI-BEDEK-NIGIT-OCK-AIRPORT,65966,67641,1675,1355,320
23,AA67352079,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,37712,39732,2020,1120,900
24,AA67353784,NUMPO-OKESI-BEDEK-NIGIT-OCK-AIRPORT,26043,28170,2127,1355,772
25,AA67352980,BOLRO-DOMUT-KATHY-*0OCK-HAZEL-OCK-AIRPORT,41915,43881,1966,1233,733
26,AA67357915,INLOD-SUMUM-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,42777,44352,1575,1155,420
27,AA67357148,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,40161,41878,1717,1120,597
28,AA67350376,NUMPO-OKESI-BEDEK-NIGIT-OCK-AIRPORT,43298,44898,1600,1355,245
29,AA67357192,DIMAL-ALESO-ROTNO-ETVAX-TIGER-BIG-WEALD-AIRPORT,47657,49349,1692,1049,643
30,AA67361753,XAMAN-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,41697,43489,1792,1120,672
31,AA67359310,INLOD-SUMUM-LOGAN-TRIPO-SABER-BRASO-LAM-TAWNY-AIRPORT,50007,52250,2243,1155,1088
32,AA67351219,BNN-BOVVA-AIRPORT,34104,35330,1226,491,735
33,AA67368851,HON-TOBID-SOPIT-WCO-BNN-BOVVA-AIRPORT,71020,72359,1339,986,353
34,AA67372605,BOLRO-*0OCK-HAZEL-OCK-AIRPORT,61983,63961,1978,1211,767
35,AA67361913,TOBID-SOPIT-WCO-BNN-BOVVA-AIRPORT,59266,60602,1336,888,448
36,AA67353979,,75510,60602,-14908,-14908,0
37,AA67372209,,75510,60602,-14908,-14908,0
38,AA67354881,,75510,60602,-14908,-14908,0
39,AA67349129,,75510,60602,-14908,-14908,0
40,AA67374923,,75510,60602,-14908,-14908,0
41,AA67358298,,75510,60602,-14908,-14908,0
42,AA67354354,,75510,60602,-14908,-14908,0
43,AA67342443,,75510,60602,-14908,-14908,0
44,AA67358478,,75510,60602,-14908,-14908,0
45,AA67352957,,75510,60602,-14908,-14908,0
46,AA67339313,,75510,60602,-14908,-14908,0
47,AA67371927,,75510,60602,-14908,-14908,0
48,AA67353146,,75510,60602,-14908,-14908,0
49,AA67370744,,75510,60602,-14908,-14908,0
50,AA67353461,,75510,60602,-14908,-14908,0
51,AA67357724,,75510,60602,-14908,-14908,0
52,AA67371942,,75510,60602,-14908,-14908,0
53,AA67358976,,75510,60602,-14908,-14908,0
54,AA67364926,,75510,60602,-14908,-14908,0
55,AA67365007,,75510,60602,-14908,-14908,0
56,AA67354306,,75510,60602,-14908,-14908,0
57,AA67366541,,75510,60602,-14908,-14908,0
58,AA67358070,,75510,60602,-14908,-14908,0
59,AA67360447,,75510,60602,-14908,-14908,0
60,AA67376520,,75510,60602,-14908,-14908,0
61,AA67360128,,75510,60602,-14908,-14908,0
62,AA67351954,,75510,60602,-14908,-14908,0
63,AA67358305,,75510,60602,-14908,-14908,0
64,AA67351922,,75510,60602,-14908,-14908,0
65,AA67339192,,75510,60602,-14908,-14908,0
66,AA67354365,,75510,60602,-14908,-14908,0
67,AA67355205,,75510,60602,-14908,-14908,0
68,AA67342954,,75510,60602,-14908,-14908,0
69,AA67359031,,75510,60602,-14908,-14908,0
70,AA67366094,,75510,60602,-14908,-14908,0
71,AA67364512,,75510,60602,-14908,-14908,0
72,AA67358010,,75510,60602,-14908,-14908,0
73,AA67354074,,75510,60602,-14908,-14908,0
74,AA67360087,,75510,60602,-14908,-14908,0
75,AA67362787,,75510,60602,-14908,-14908,0
76,AA67361025,,75510,60602,-14908,-14908,0
77,AA67357715,,75510,60602,-14908,-14908,0
78,AA67357531,,75510,60602,-14908,-14908,0
79,AA67373039,,75510,60602,-14908,-14908,0
80,AA67358245,,75510,60602,-14908,-14908,0
81,AA67339211,,75510,60602,-14908,-14908,0
82,AA67364658,,75510,60602,-14908,-14908,0
83,AA67359178,,75510,60602,-14908,-14908,0
